class,predicate,ent_etimp,entf_bits,etimp
Person,alternateName,438.285459,22.441476,3264930.8818
Human,alternateName,438.047137,22.438216,3259255.5615
Person,sameAs,437.269778,23.197371,2928744.9993
Human,sameAs,436.951528,23.194537,2921298.6170
BioChemEntity,encodesBioChemEntity,338.252705,19.825081,1680042.3211
BioChemEntity,isEncodedByBioChemEntity,337.690472,19.800384,1675152.5325
Organization,sameAs,327.534268,22.501292,1010193.5805
AdministrativeArea,sameAs,321.409639,22.714331,910616.9460
Taxon,sameAs,321.304835,22.845377,893869.4271
BioChemEntity,alternateName,317.921021,18.944949,1502438.4318
Organization,alternateName,315.191901,20.826239,1092616.2357
Person,birthDate,310.983252,14.907995,2822866.0435
Human,birthDate,310.712887,14.908000,2813059.2568
AdministrativeArea,alternateName,301.998864,20.354208,986412.5798
Organization,url,296.602103,19.125008,1106348.7653
AdministrativeArea,geo,294.327601,19.380937,1030859.9525
Taxon,alternateName,272.752999,19.644854,730014.9461
Person,comment,256.981467,15.993278,1066092.1698
Taxon,image,256.737167,17.462129,815949.6744
Human,comment,256.689187,15.990687,1061766.1988
Person,givenName,248.582461,10.917462,2934383.3440
Human,givenName,248.381668,10.917272,2925066.8226
Landform,alternateName,243.833000,18.351979,571901.4445
Landform,sameAs,231.147102,22.176882,261729.2996
Organization,containedInPlace,231.012074,13.657457,1117967.4260
Landform,image,230.009264,16.876444,582288.8398
AdministrativeArea,containsPlace,229.862057,19.892126,354670.8987
Organization,location,225.797424,13.876755,972774.4477
Landform,geo,216.254723,21.415609,222674.8153
Organization,comment,215.709381,14.034458,783229.7732
Landform,containedInPlace,203.874015,11.665743,1088203.9576
AdministrativeArea,location,199.698297,13.065404,713064.5969
BioChemEntity,isInvolvedInBiologicalProcess,190.506211,10.539913,1124930.0728
Organization,foundingDate,178.565323,9.704262,1112502.3404
Person,hasOccupation,177.665809,7.032423,2864840.7585
Human,hasOccupation,177.512966,7.032177,2855294.9190
AdministrativeArea,containedInPlace,170.170255,15.803538,212457.3014
BioChemEntity,hasMolecularFunction,160.317818,8.286435,1160977.9258
BioChemEntity,comment,146.609812,8.190918,840725.8060
Landform,comment,140.409657,12.056655,221772.3435
BioChemEntity,isLocatedInSubcellularLocation,120.711504,5.851586,1059677.8359
AdministrativeArea,comment,101.224029,8.307885,183089.3225
BioChemEntity,label,90.242093,22.450422,5860.8836
Taxon,parentTaxon,88.798496,15.778647,15827.5314
Landform,elevation,87.584397,11.421077,39498.9758
Person,label,57.400538,25.667374,641.9771
Human,label,57.398618,25.666230,641.9771
Landform,label,51.677721,22.517872,624.6423
Taxon,comment,48.981366,8.470386,9471.3948
AdministrativeArea,label,42.426623,23.280541,256.7880
Organization,label,37.912957,23.454245,160.1350
Taxon,label,26.119339,25.266705,28.8538
Person,gender,26.052525,0.765813,1025725.7093
Human,gender,25.970207,0.765829,1012759.6638
Taxon,taxonRank,13.157157,1.025027,27825.4478
Taxon,award,7.655341,2.127388,356.7123
Organization,type,0.000000,4.576480,0.0000
Organization,sameAs,0.000000,21.500691,0.0000
Person,sameAs,0.000000,23.019589,0.0000
Person,type,0.000000,1.589151,0.0000
BioChemEntity,sameAs,0.000000,21.649443,0.0000
BioChemEntity,type,0.000000,2.607244,0.0000
AdministrativeArea,type,0.000000,3.140451,0.0000
AdministrativeArea,sameAs,0.000000,21.302780,0.0000
Landform,sameAs,0.000000,21.613430,0.0000
Landform,type,0.000000,3.349300,0.0000
Taxon,type,0.000000,1.060773,0.0000
Taxon,sameAs,0.000000,21.630865,0.0000
Human,sameAs,0.000000,23.017274,0.0000
Human,type,0.000000,1.587342,0.0000
GeoCoordinates,latitude,0.000000,20.708863,0.0000
GeoCoordinates,longitude,0.000000,21.346252,0.0000
GeoCoordinates,type,0.000000,0.000000,0.0000
