class,predicate,entropy_bits,values,distinct_values
Person,careerStation,20.921385,1985932,1985932
Species,careerStation,20.921385,1985932,1985932
Species,label,20.616842,1608007,1608007
Person,label,20.592800,1581432,1581432
Species,name,20.283316,1773252,1504798
Person,name,20.269624,1759966,1491875
AdministrativeRegion,label,15.805568,57273,57273
Person,birthDate,15.786870,1323199,109875
Species,birthDate,15.786865,1323197,109874
AdministrativeRegion,name,15.044248,41823,38007
AdministrativeRegion,thumbnail,14.989350,39600,36564
AdministrativeRegion,populationTotal,14.286211,33541,24908
Person,birthPlace,14.240698,1674941,267743
Species,birthPlace,14.240693,1674938,267742
ChemicalCompound,alternativeName,13.895175,15322,15260
ChemicalCompound,label,13.818482,14447,14447
ChemicalCompound,iupacName,13.753402,13843,13819
ChemicalCompound,thumbnail,13.651788,13581,13246
ChemicalCompound,imagefile,13.390727,16208,14457
Person,team,13.330208,1644514,51781
Species,team,13.330208,1644514,51781
Species,birthPlace,12.919446,1707411,128318
Person,birthPlace,12.919445,1707413,128318
ChemicalCompound,verifiedrevid,12.680601,6770,6631
ChemicalCompound,othernames,12.525428,15181,12189
Star,label,12.476240,5698,5698
AdministrativeRegion,subdivision,12.341655,60944,16409
Star,parallax,12.297826,5449,5156
Galaxy,label,11.495855,2888,2888
Galaxy,thumbnail,11.359475,2709,2654
Galaxy,caption,11.337534,2685,2634
Galaxy,name,11.263782,2743,2659
AdministrativeRegion,subdivisionName,11.078866,64412,11361
Galaxy,z,11.034450,2416,2221
Star,class,10.297081,5954,3106
Star,pError,10.211023,5439,1988
Star,appmagV,10.065570,5761,2194
Star,mass,9.472720,4434,1388
Species,wikiPageUsesTemplate,8.345312,16219428,124766
Person,wikiPageUsesTemplate,8.327914,16063645,123401
Galaxy,type,8.293616,2750,912
AdministrativeRegion,wikiPageUsesTemplate,8.276092,644195,26341
Species,years,6.881977,1599936,17099
Person,years,6.881886,1599923,17092
Star,constell,6.219189,5486,113
ChemicalCompound,wikiPageUsesTemplate,5.991647,171867,2033
AdministrativeRegion,subdivisionType,5.869010,79742,1087
Galaxy,wikiPageUsesTemplate,5.540275,30695,455
Star,wikiPageUsesTemplate,5.453216,101879,727
Galaxy,constellationName,5.352071,2807,120
AdministrativeRegion,country,5.196300,49115,407
Species,type,4.396206,30290856,312
Person,type,4.381457,30106008,282
ChemicalCompound,imagesize,3.766864,8061,125
AdministrativeRegion,type,3.407609,572467,44
Galaxy,type,2.807355,19922,7
Star,type,2.585800,33134,8
ChemicalCompound,type,2.322748,71979,8
Star,epoch,1.943927,5547,77
Galaxy,epoch,1.018175,2782,8
