node,entropy_weighted,unweighted,rank_weighted,rank_unweighted,rank_shift
United_States,65.03777953,168.00280178,1,1,0
Earth,25.99998751,102.54650571,2,2,0
France,21.44596370,59.25042622,3,3,0
Europe,16.28477706,43.17599801,4,4,0
Iraq,13.44451377,41.38910985,5,5,0
Virginia,12.43170934,29.91659617,6,8,2
Asia,11.88600920,36.81255392,7,7,0
Spain,9.88462596,21.44813555,8,15,7
Italy,9.67138386,23.09445864,9,12,3
Africa,9.10854503,25.64771452,10,9,-1
Germany,8.06149228,22.22384221,11,14,3
Confederate_States_of_America,8.04778218,25.62538467,12,10,-2
Afghanistan,7.82463397,25.46924744,13,11,-2
Atlantic_Ocean,7.71847319,18.10893554,14,17,3
Poland,7.39188213,16.74470221,15,18,3
Vietnam,6.56135575,18.82190445,16,16,0
China,6.33115795,22.75888867,17,13,-4
Netherlands,6.19622824,15.07964930,18,21,3
Russia,6.11805818,15.63375615,19,19,0
Tennessee,5.93953609,13.99960942,20,24,4
Pacific_Ocean,5.93839156,14.04055888,21,23,2
Missouri,5.37482783,15.28377894,22,20,-2
Philippines,5.27215695,11.91829594,23,29,6
India,5.08514868,13.87479363,24,25,1
Canada,4.88335555,12.64540822,25,27,2
Belgium,4.32186844,11.20706804,26,31,5
Kentucky,4.12475241,12.68318222,27,26,-1
South_Korea,4.10363283,14.54936118,28,22,-6
Americas,4.06392199,12.48215029,29,28,-1
Finland,4.02484609,9.20835717,30,37,7
North_Carolina,3.99801523,8.45686395,31,39,8
Western_United_States,3.98732254,10.35694042,32,33,1
South_Carolina,3.82881195,8.06690560,33,41,8
Portugal,3.78430955,7.55689797,34,47,13
Lower_Normandy,3.74984868,7.93278926,35,42,7
Oceania,3.71358248,9.36417969,36,36,0
Mediterranean_Sea,3.65084488,8.35663358,37,40,3
South_Vietnam,3.61594942,9.67588245,38,35,-3
Iran,3.58750046,11.48718953,39,30,-9
Soviet_Union,3.35333915,7.59188598,40,46,6
New_Jersey,3.35028284,7.31219471,41,53,12
Cuba,3.22064409,7.47247978,42,48,6
Japan,3.21216835,9.81493081,43,34,-9
Ukraine,3.19384787,6.82314530,44,58,14
Ontario,3.05688692,6.63297836,45,62,17
Turkey,3.00844592,7.72690487,46,45,-1
Holy_Roman_Empire,2.98465952,6.27186084,47,67,20
Egypt,2.87713150,6.75329212,48,60,12
North_America,2.79916212,6.32556945,49,66,17
West_Virginia,2.74446296,5.95834936,50,72,22
Nord-Pas-de-Calais,2.74378797,6.51232991,51,65,14
